,NIG,name,Monitor,Timestamp
386.0,0.000371,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_169.tif,12616.0,
387.0,0.00037,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_170.tif,12756.0,
388.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_171.tif,12228.0,
395.0,0.000376,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_172.tif,12141.0,
395.0,0.000377,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_173.tif,11898.0,
396.0,0.000377,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_174.tif,12648.0,
397.0,0.000377,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_175.tif,11610.0,
399.0,0.000377,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_176.tif,12807.0,
400.0,0.000377,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_177.tif,12051.0,
400.0,0.000365,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_178.tif,12326.0,
401.0,0.000354,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_179.tif,12296.0,
402.0,0.000346,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_180.tif,12954.0,
404.0,0.000339,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_181.tif,12357.0,
404.0,0.000333,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_182.tif,12799.0,
405.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_183.tif,12616.0,
412.0,0.000314,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_184.tif,12610.0,
413.0,0.000313,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_185.tif,12956.0,
413.0,0.000312,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_186.tif,12955.0,
414.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_187.tif,12969.0,
421.0,0.000302,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_188.tif,13024.0,
422.0,0.000301,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_189.tif,13083.0,
422.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_190.tif,12458.0,
429.0,0.000298,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_191.tif,12917.0,
